name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
William S. Burroughs,male,1914-02-05,United States of America, Louis
Tucker Max,male,1975-09-27,United States of America,Atlanta
Brennan Manning,male,"1934-04-27, 1937-04-27",United States of America,New York City
Ted Dekker,male,1962-10-24,United States of America,Indonesia
Norman Page,male,1876-00-00,England,Nottingham
Thomas Wolfe,male,1900-10-03,United States of America,Asheville
Sidney Sheldon,male,1917-02-11,United States of America,Chicago
John Grisham,male,1955-02-08,United States of America,Jonesboro
Brian Froud,male,"1947-01-01, 1947-05-06",United Kingdom,Winchester
Aleksandr Solzhenitsyn,male,1918-12-11,"Russian Socialist Federative Soviet Republic, Soviet Union, Russia",Kislovodsk
John Rawls,male,1921-02-21,United States of America,Baltimore
Rich Mullins,male,1955-10-21,United States of America,Richmond
Marina Lewycka,female,1946-01-01,United Kingdom,Kiel
David James Duncan,male,1952-01-01,United States of America,Portland
Jean-Jacques Sempé,male,1932-08-17,France,"Bordeaux, Pessac"
Plum Sykes,female,1969-12-04,United Kingdom,London
Marie Lu,female,1984-07-11,United States of America,Wuxi
Flannery O'Connor,female,1925-03-25,United States of America,Savannah
Maxine Paetro,female,1946-04-19,United States of America,Miami
Michael Bond,male,1926-01-13,"United Kingdom, United Kingdom of Great Britain and Ireland",Newbury
Enid Blyton,female,1897-08-11,United Kingdom,East Dulwich
Milo Manara,male,"1945-09-12, 1945-09-15",Italy,Lüsen
Hidekaz Himaruya,male,1985-05-08,"Japan, United States of America",Kōriyama
John Galsworthy,male,1867-08-14,"United Kingdom, United Kingdom of Great Britain and Ireland",Kingston upon Thames
Glen David Gold,male,1964-03-29,United States of America,Long Beach
Steve Wozniak,male,1950-08-11,United States of America,San Jose
Margot Lee Shetterly,female,1969-06-30,United States of America,Hampton
Sam McBratney,male,1943-03-01,"Ireland, United Kingdom",Belfast
Ann-Marie MacDonald,female,1958-10-29,Canada,Baden
Bernie Wrightson,male,1948-10-27,United States of America,Baltimore
Orson Scott Card,male,1951-08-24,United States of America,Richland
John Elder Robison,male,1957-08-13,"United States of America, United Kingdom",Athens
Chris Pavone,male,1968-07-23,United States of America,New York City
Michelle Magorian,female,1947-11-06,United Kingdom,Portsmouth
Hanya Yanagihara,female,1974-09-20,United States of America,Los Angeles
Michael Connelly,male,1956-07-21,United States of America,Philadelphia
Paul O. Zelinsky,male,1953-02-14,United States of America,Evanston
John Hersey,male,1914-06-17,United States of America,Tianjin
Peter H. Reynolds,male,1961-03-16,Canada,Ontario
David A. Vise,male,1960-06-16,United States of America,Nashville
Paul Kidby,male,1964-06-24,United Kingdom,Middlesex
Lauren Willig,female,1977-03-28,United States of America,Philadelphia
Peter Lynch,male,1944-01-19,United States of America,United States of America
Rick Riordan,male,1964-06-05,United States of America,San Antonio
Brené Brown,female,1965-11-18,United States of America,San Antonio
Tami Hoag,female,1959-01-20,United States of America,Cresco
Kristin Cast,female,1986-11-04,United States of America,Tulsa
Thomas Hobbes,male,1588-04-05,"Kingdom of England, United Kingdom",Westport
Steve Martini,male,1946-02-28,United States of America,San Francisco
Ishmael Reed,male,1938-02-22,United States of America,Chattanooga
Jean M. Auel,female,1936-02-18,United States of America,Chicago
José Maria de Eça de Queirós,male,1845-11-25,Portugal,Póvoa de Varzim
Confucius,male,"-0551-00-00, -0552-10-09, -0551-10-04",Lu,Qufu
James Herbert,male,1943-04-08,United Kingdom,London
Flora Rheta Schreiber,female,1918-04-24,United States of America,New York City
Robert McKee,male,1941-01-30,United States of America,United States of America
Natalie Babbitt,female,1932-07-28,United States of America,Dayton
Steve Alten,male,1959-08-21,United States of America,Philadelphia
Rob Buyea,male,1976-09-12,United States of America,Oneida
Sheldon Vanauken,male,1914-08-04,United States of America,Auburn
Hayden Carruth,male,1921-08-03,United States of America,Waterbury
Joseph Delaney,male,1945-07-25,United Kingdom,Preston
Shilpi Somaya Gowda,female,1970-12-09,Canada,Toronto
Will Durant,male,1885-11-05,United States of America,North Adams
Anthony Bonner,male,1968-06-08,United States of America, Louis
Gary Jennings,male,1928-09-20,United States of America,Buena Vista
Steve Niles,male,1965-06-21,United States of America,Jackson Township
Peggy Rathmann,female,"1953-03-04, 1954-03-04",United States of America,Saint Paul
Primo Levi,male,1919-07-31,"Italy, Kingdom of Italy",Turin
Skottie Young,male,1978-03-03,United States of America,Fairbury
Alexander Pushkin,male,"1799-05-26, 1799-06-06",Russian Empire,Moscow
Charlaine Harris,female,1951-11-25,United States of America,Tunica
Jean-Paul Sartre,male,1905-06-21,France,Paris
Gregory Maguire,male,1954-06-09,United States of America,Albany
Justin Cronin,male,1962-01-01,United States of America,New England
Sophocles,male,"-0496-01-01, -0497-01-01",Classical Athens,Colonus
Darwyn Cooke,male,"1962-01-01, 1962-11-16",Canada,Toronto
Sarah Vowell,female,1969-12-27,United States of America,Muskogee
Paul Bowles,male,1910-12-30,United States of America,Queens
Margaret Wise Brown,female,1910-05-23,United States of America,Brooklyn
Vera Brosgol,female,1984-08-02,United States of America,Moscow
Ursula K. Le Guin,female,1929-10-21,United States of America,Berkeley
Ellendea Proffer,female,1944-11-24,United States of America,Philadelphia
Charles Keeping,male,1924-09-22,United Kingdom,Lambeth
Gerard Way,male,1977-04-09,United States of America,Newark
Drew Karpyshyn,male,1971-07-28,Canada,Edmonton
Auguste Maquet,male,1813-09-13,France,Paris
Sarah J. Maas,female,1986-03-05,United States of America,New York City
Deborah Blum,female,1954-10-19,United States of America,Urbana
Stuart Gilbert,male,1883-10-25,"United Kingdom, United Kingdom of Great Britain and Ireland",Kelvedon Hatch
Kathleen Winsor,female,1919-10-16,United States of America,Olivia
Ann Aguirre,female,1970-08-27,United States of America,United States of America
Coleman Barks,male,1937-04-23,United States of America,Chattanooga
Cinda Williams Chima,female,1952-01-01,United States of America,Springfield
Robert Siegel,male,1947-06-26,United States of America,New York City
Johanna Spyri,female,1827-06-12,Switzerland,Hirzel
Jack Finney,male,1911-10-02,United States of America,Milwaukee
Joe R. Lansdale,male,1951-10-28,United States of America,Gladewater
Paul McCartney,male,1942-06-18,United Kingdom,Liverpool
Louis Slobodkin,male,1903-02-19,United States of America,Albany
Alison Goodman,female,"1966-01-01, 1966-08-18",Australia,Melbourne
Emma Goldman,female,1869-06-27,"Russian Empire, United States of America",Kaunas
Max Brod,male,1884-05-27,Israel,Prague
Julianna Baggott,female,1969-09-30,United States of America,Wilmington
Per Petterson,male,1952-07-18,Norway,Oslo
Kristan Higgins,female,1965-00-00,United States of America,Durham
Marla Frazee,female,1958-01-16,United States of America,Los Angeles
Mikal Gilmore,male,1951-02-09,United States of America,Portland
Tom Shales,male,1944-11-03,United States of America,Elgin
Anne Morrow Lindbergh,female,1906-06-22,United States of America,Englewood
Paul Galdone,male,1907-06-02,United States of America,Budapest
Mirra Ginsburg,female,1909-06-10,United States of America,"Babruysk, Minsk"
Francine Rivers,female,1947-01-01,United States of America,United States of America
Jeff Lemire,male,1976-03-21,Canada,Essex County
Alexandre Dumas,male,1802-07-24,France,Cotterêts
Peter Sís,male,1949-05-11,"United States of America, Czech Republic",Brno
Lene Kaaberbøl,female,1960-03-24,Denmark,Copenhagen
Edith Grossman,female,1936-03-22,United States of America,Philadelphia
Angela Marsons,female,1950-01-01,England,Brierley Hill
Rob Bell,male,1970-08-23,United States of America,Ingham County
Cornelia Funke,female,1958-12-10,Germany,Dorsten
Richard Price,male,1723-02-23,"Great Britain, Wales",Glamorgan
Corrie ten Boom,female,1892-04-15,Kingdom of the Netherlands,Amsterdam
Crockett Johnson,male,1906-10-20,United States of America,New York City
Tony Hendra,male,"1941-01-01, 1941-07-15",United Kingdom,Hertfordshire
Joan Marcus,female,1953-01-01,United States of America,Pittsburgh
Burton Raffel,male,1928-01-01,United States of America,New York City
Lorrie Moore,female,1957-01-13,United States of America,Glens Falls
Melissa de la Cruz,female,1971-07-07,"Philippines, United States of America",Manila
Derf Backderf,male,"1959-10-31, 1959-10-30",United States of America,Richfield
Rita Williams-Garcia,female,1957-04-13,United States of America,Jamaica
Mathias Malzieu,male,1974-04-16,France,Montpellier
Alexander Osterwalder,male,1974-00-00,Switzerland, Gallen
Caroline Alexander,female,1968-03-03,United Kingdom,Furness
Seth Godin,male,1960-07-10,Belgium,Mount Vernon
Suetonius,male,0070-00-00,Ancient Rome,
Andrew Bromfield,male,1950-01-01,United Kingdom,Kingston upon Hull
Ahmad Fuadi,male,1972-12-30,Indonesia,Lake Maninjau
Jason Baker,male,1978-05-17,United States of America,Fort Wayne
Lucy Grealy,female,1963-06-03,United States of America,Dublin
Geoffrey A. Landis,male,1955-05-28,United States of America,Detroit
Jung Chang,female,1952-03-25,United Kingdom,Yibin
Annie Barrows,female,1962-01-01,United States of America,San Diego
Nancy Pickard,female,1945-09-19,United States of America,Kansas City
Matthew Sweet,male,1964-10-06,United States of America,Lincoln
Thomas Malory,male,1405-01-01,Kingdom of England,Warwickshire
Jennifer Weiner,female,1970-03-28,United States of America,DeRidder
Rachel Abbott,female,1952-00-00,United Kingdom,Manchester
Andrew Adamson,male,1966-12-01,New Zealand,Auckland
Peter Benchley,male,1940-05-08,United States of America,New York City
Mary Higgins Clark,female,1927-12-24,United States of America,New York City
Beth Harbison,female,1966-07-06,United States of America,Potomac
Raina Telgemeier,female,1977-05-26,United States of America,San Francisco
Dan Millman,male,1946-02-22,United States of America,Los Angeles
Dorothy Gilman,female,1923-06-25,United States of America,New Brunswick
Farley Mowat,male,1921-05-12,Canada,Belleville
Walter Scott,male,1771-08-15,Great Britain,Edinburgh
Mark Bittman,male,1950-02-17,United States of America,Manhattan
Abraham Verghese,male,1955-01-01,"United States of America, India",Ethiopia
Patricia MacLachlan,female,1938-03-03,United States of America,Cheyenne
Eleanor Catton,female,1985-09-24,"New Zealand, Canada",London
Janell Cannon,female,1957-01-01,United States of America,Saint Paul
Susanna Clarke,female,"1959-11-01, 1959-11-16",United Kingdom,Nottingham
James Redfield,male,1950-03-19,United States of America,Birmingham
James Dashner,male,1972-11-26,United States of America,Cobb County
Lloyd Alexander,male,1924-01-30,United States of America,Philadelphia
Jonathan Maberry,male,1958-05-18,United States of America,Kensington
Bernard Waber,male,1924-09-27,United States of America,Philadelphia
Jane Rice,female,1913-04-30,United States of America,Owensboro
Cynthia Rylant,female,1954-06-06,United States of America,Hopewell
Susan Hill,female,1942-02-05,United Kingdom,Scarborough
Wendelin Van Draanen,female,1965-01-06,United States of America,Chicago
Andrew Pepoy,male,"1969-05-00, 1969-05-13",United States of America,Holland
Matt Wagner,male,1961-10-09,United States of America,Pennsylvania
Harry Paul,male,1886-08-31,"United Kingdom, United Kingdom of Great Britain and Ireland",Glasgow
Doug Moench,male,1948-02-23,United States of America,Chicago
Denis Rodier,male,1963-06-24,United States of America,Nominingue
John Jakes,male,1932-03-31,United States of America,Chicago
George Goulding,male,1884-11-19,Canada,Kingston upon Hull
Kate Mosse,female,1961-10-20,United Kingdom,West Sussex
Beatrix Potter,female,1866-07-28,United Kingdom,"London, Kensington"
Maurice Cranston,male,1920-05-08,"United Kingdom, United Kingdom of Great Britain and Ireland",Harringay
Robert Descharnes,male,1926-01-01,France,Nevers
Mildred D. Taylor,female,1943-09-13,United States of America,Jackson
Andrea Levy,female,1955-03-07,United Kingdom,London
James Norman Hall,male,1887-04-22,United States of America,Colfax
Firoozeh Dumas,female,1965-01-01,"United States of America, Iran",Abadan
David Mamet,male,1947-11-30,United States of America,Chicago
Alexandra Potter,female,1970-01-01,United Kingdom,Bradford
Shūsaku Endō,male,"1923-03-27, 1923-03-00",Japan,Tokyo
Juan Gabriel Vásquez,male,1973-00-00,"Colombia, Spain",Bogotá
Mahatma Gandhi,male,1869-10-02,"British India, Dominion of India",Porbandar
Arthur Miller,male,1915-10-17,United States of America,New York City
Suketu Mehta,male,1963-01-01,United States of America,Kolkata
William Zinsser,male,1922-10-07,United States of America,New York City
Anna Sewell,female,"1820-03-30, 1820-03-20",United Kingdom,Great Yarmouth
Alexandra Fuller,female,1969-01-01,United Kingdom,Glossop
Muriel Barbery,female,1969-05-28,France,Casablanca
Michelle Moran,female,1980-08-11,United States of America,San Fernando Valley
John Fowles,male,1926-03-31,United Kingdom,Sea
Alissa Nutting,female,2000-01-01,United States of America,United States of America
William Strunk Jr.,male,1869-07-01,United States of America,Cincinnati
Diana Gabaldon,female,1952-01-11,United States of America,Williams
Robert James Waller,male,1939-08-01,United States of America,Charles City
John Irving,male,1942-03-02,United States of America,Exeter
Lynsay Sands,female,2000-01-01,Canada,Leamington
Megan Whalen Turner,female,1965-01-01,United States of America,Fort Sill
Barbara Park,female,1947-04-21,United States of America,Mount Holly Township
Tim Carvell,male,1974-00-00,United States of America,Bloomfield Hills
Jim Carroll,male,1949-08-01,United States of America,"Manhattan, 70 years"
Jenny Han,female,1980-09-03,United States of America,Richmond
Willy Trenk-Trebitsch,male,1902-03-11,Austria,Vienna
Ann Packer,female,1942-03-08,United Kingdom,Moulsford
Lucinda Riley,female,1968-02-16,Ireland,Ireland
Koushun Takami,male,1969-01-10,Japan,Amagasaki
Gary Brandner,male,1933-05-31,United States of America, Marie
Arthur Rackham,male,1867-09-19,United Kingdom,Lewisham
Jennifer Rush,female,"1960-09-29, 1960-09-28",United States of America,Astoria
Frank Bettger,male,1888-02-15,United States of America,Philadelphia
Russell Brand,male,1975-06-04,United Kingdom,Grays
Cornelius Ryan,male,1920-06-05,"Ireland, United States of America",Dublin
Michèle Fitoussi,female,1954-11-24,France,Tunis
Tina Fey,female,1970-05-18,United States of America,Upper Darby Township
Chris Eliopoulos,male,1967-09-30,United States of America,Astoria
Gayle Forman,female,1970-06-05,United States of America,Los Angeles
Siobhan Dowd,female,1960-02-04,United Kingdom,Leeds
Winnie Holzman,female,1954-08-18,United States of America,Manhattan
Donna Tartt,female,1963-12-23,United States of America,Greenwood
Maira Kalman,female,1949-01-01,United States of America,Tel Aviv
Ruth Krauss,female,1901-07-25,United States of America,Baltimore
Augustine of Hippo,male,"0354-11-13, 0354-00-00",Ancient Rome,Thagaste
Dustin Thomason,male,1976-01-01,United States of America,Honolulu
Jennifer Haigh,female,1968-01-01,United States of America,Pennsylvania
Rachel Isadora,female,1953-01-01,United States of America,New York City
